SKYSCAN_1272 TEST RESULTS 	

Instrument SN: 15G09089-B
Control software version: 1.1.7
X-Ray Source: HAMAMATSU_L11871_20
Emission: 304 hours	
Voltage: 80kV,	 Current: 125uA	 CCD chip:20.4C
Date and Time: Aug 29, 2016  08:49:27

    test start

id	time	intensity	CCD chip
484	00h:56m:18s	46.6%	19.8C
485	00h:56m:25s	46.7%	19.8C
486	00h:56m:32s	46.6%	19.8C
487	00h:56m:38s	46.7%	19.8C
488	00h:56m:45s	46.7%	19.8C
489	00h:56m:52s	46.7%	19.8C
490	00h:56m:59s	46.7%	19.8C
491	00h:57m:06s	46.6%	19.8C
492	00h:57m:13s	46.6%	19.8C
493	00h:57m:21s	46.6%	19.8C
494	00h:57m:28s	46.6%	19.8C
495	00h:57m:34s	46.7%	19.8C
496	00h:57m:41s	46.6%	19.8C
497	00h:57m:48s	46.7%	19.8C
498	00h:57m:55s	46.7%	19.8C
499	00h:58m:02s	46.7%	19.8C
500	00h:58m:09s	46.7%	19.8C
501	00h:58m:16s	46.7%	19.8C
502	00h:58m:23s	46.7%	19.8C
503	00h:58m:31s	46.7%	19.8C
504	00h:58m:38s	46.6%	19.8C
505	00h:58m:44s	46.6%	19.8C
506	00h:58m:51s	46.6%	19.8C
507	00h:58m:58s	46.7%	19.8C
508	00h:59m:05s	46.6%	19.8C
509	00h:59m:12s	46.6%	19.8C
510	00h:59m:19s	46.7%	19.8C
511	00h:59m:26s	46.6%	19.8C
512	00h:59m:33s	46.6%	19.8C
513	00h:59m:41s	46.6%	19.8C
514	00h:59m:48s	46.6%	19.8C
515	00h:59m:55s	46.6%	19.8C
516	01h:00m:02s	46.6%	19.8C
517	01h:00m:09s	46.6%	19.8C
518	01h:00m:16s	46.6%	19.8C
519	01h:00m:23s	46.6%	19.8C
520	01h:00m:30s	46.6%	19.8C
521	01h:00m:36s	46.6%	19.8C
522	01h:00m:43s	46.6%	19.8C
523	01h:00m:51s	46.6%	19.8C
524	01h:00m:58s	46.7%	19.8C
525	01h:01m:05s	46.6%	19.8C
526	01h:01m:11s	46.6%	19.8C
527	01h:01m:18s	46.6%	19.8C
528	01h:01m:25s	46.6%	19.8C
529	01h:01m:32s	46.7%	19.8C
530	01h:01m:39s	46.7%	19.7C
531	01h:01m:46s	46.7%	19.8C
532	01h:01m:53s	46.6%	19.7C
533	01h:02m:01s	46.6%	19.7C
534	01h:02m:08s	46.7%	19.7C
535	01h:02m:15s	46.6%	19.7C
536	01h:02m:22s	46.7%	19.7C
537	01h:02m:29s	46.7%	19.7C
538	01h:02m:36s	46.6%	19.7C
539	01h:02m:43s	46.6%	19.7C
540	01h:02m:50s	46.6%	19.7C
541	01h:02m:57s	46.7%	19.7C
542	01h:03m:04s	46.7%	19.7C
543	01h:03m:11s	46.6%	19.7C
544	01h:03m:18s	46.6%	19.7C
545	01h:03m:25s	46.6%	19.7C
546	01h:03m:32s	46.7%	19.7C
547	01h:03m:39s	46.6%	19.7C
548	01h:03m:46s	46.6%	19.7C
549	01h:03m:53s	46.6%	19.7C
